Diseases,Symptoms, Incubation Period,
HepatitisD,vomiting,5,
HepatitisD,loss_of_appetite,6,
HepatitisD,dark_urine,8,
HepatitisD,fatigue,8,
HepatitisD,abdominal_pain,7,
HepatitisE,loss_of_appetite,6,
HepatitisE,dark_urine,8,
HepatitisE,fatigue,8,
HepatitisE,abdominal_pain,7,
HepatitisE,joint_pain,7,
HepatitisE,jaundice,15,
HepatitisE,vomiting,5,
HepatitisE,acute_liver_failure,18,
HepatitisE,fever,7,
CommonCold,sore_throat,10,
CommonCold,runny_nose,10,
CommonCold,cough,10,
CommonCold,sneezing,10,
Generalisedanxietydisorder(GAD),restlessness,10,
Generalisedanxietydisorder(GAD),a_sense_of_dread,10,
Generalisedanxietydisorder(GAD),difficulty_concentrating,10,
Generalisedanxietydisorder(GAD),irritability,10,
diarrhea,stomach_cramps,5,
diarrhea,nausea,5,
diarrhea,vomiting,5,
diarrhea,loss_of_appetite,5,
Flu,sudden_fever,3,
Flu,chesty_cough,3,
Flu,tiredness,3,
Flu,weakness,3,
Flu,chills,3,
Flu,muscle_aches,3,
Flu,nausea,3,
Flu,vomiting,3,
Flu,runny_or_blocked_nose,3,
Flu,sneezing,3,
Flu,loss_of_appetite,3,
Flu,difficulty_sleeping,3,
Flu,diarrhea,3,
Flu,headache,3,
Foodpoisoning,feeling_sick,2,
Foodpoisoning,vomiting,2,
Foodpoisoning,diarrhea,2,
Foodpoisoning,stomach_cramps,2,
Foodpoisoning,weakness,2,
Foodpoisoning,loss_of_appetite,2,
Foodpoisoning,muscle_aches,2,
Foodpoisoning,chills,2,
Gumdisease,red_and_swollen_gums,7,
Gumdisease,bleeding_gums,7,
Gumdisease,bad_breath,7,
Gumdisease,unpleasant_taste_in_mouth,7,
Gumdisease,loose_teeth,7,
GumdIsease,gum_abscesses,7,
Giardiasis,excessive_gas,6,
Giardiasis,abdominal_cramps,6,
Giardiasis,weight_loss,7,
Giardiasis,headache,7,
Giardiasis,greasy_stools,6,
Junin_virus,Hemorrhage,10,
Junin_virus,Dizziness,7,
Junin_virus,muscle_aches,5,
Junin_virus,Weakness,6,
Junin_virus,Bleeding_under_the_skin,11,
Junin_virus,Bleeding_from_internal_organs,12,
Junin_virus,Fatigue,10,
Junin_virus,fever,10,
Pertussis,extreme_fatigue,10,
Pertussis,fever,11,
Pertussis,vomiting,12,
Pertussis,breathing_problems,11,
Shigellosis,fever,6,
Shigellosis,nausea,6,
Shigellosis,vomiting,6,
Shigellosis,Watery_diarrhea,7,
Shigellosis,Watery_or_bloody_diarrhea,8,
Anthrax,cold,7,
Anthrax,sore_throat,7,
Anthrax,fever,7,
Anthrax,muscle_aches,7,
Anthrax,cough,7,
Anthrax,breathing_problem,7,
Anthrax,fatigue,7,
Anthrax,shaking,7,
Anthrax,chills,7,
Anthrax,vomiting,7,
Yellow_fever,fever,3,
Yellow_fever,Sensitivity_to_light,3,
Yellow_fever,Nausea,4,
Yellow_fever,jaundice,3,
Yellow_fever,vomiting,3,
Yellow_fever,Abdominal_pain,3,
Yellow_fever,Decreased_urination,4,
Yellow_fever,Bleeding_from_nose,2,
Marburg_virus,Diarrhea,5,
Marburg_virus,Sore_throat,3,
Marburg_virus,Stomach_pain,4,
Marburg_virus,Chest_pain,4,
Marburg_virus,cough,5,
Marburg_virus,Red_eyes,5,
Marburg_virus,Raised_rashes,6,
Marburg_virus,fever,6,
MRSA,skin_infection,7,
MRSA,Urinary_tract_infection,10,
MRSA,blood_poisoning,9,
MRSA,lung_infection,10,
MRSA,fever,5,
MRSA,painful_and_pus-filled_pimples,10,
Indigestion,feeling_uncomfortably_full,2,
Indigestion,belching,3,
Indigestion,reflux,2,
Indigestion,bloating,2,
Indigestion,nausea,2,
Indigestion,vomiting,3,
Panic_Disorder,sweating,1,
Panic_Disorder,trembling,2,
Panic_Disorder,chills,1,
Panic_Disorder,chest_pain,2,
Panic_Disorder,nausea,5,
Panic_Disorder,shivering,1,
Panic_Disorder,shaking,1,
Panic_Disorder,churning_stomach,2,
Whooping_cough,runny_nose,4,
Whooping_cough,red_and_watery_eyes,4,
Whooping_cough,sore_throat,5,
Whooping_cough,slightly_raised_temperature,5,
Whooping_cough,cough,4,
Gout,severe_pain_in_joints,5,
Gout,joint_feeling_hot,3,
Gout,swelling_in_joint,6,
Gout,shiny_skin_over_joint,10,
Dizziness,Migraine,10,
Dizziness,Labyrinthitis,10,
Dizziness,Stress,10,
Dizziness,Postural_hypotension,8,
Dizziness,Dehydration,9,
Dizziness,Vertebrobasilar_insufficiency,6,
Depression,tearful,7,
Depression,guilty,3,
Depression,low_self-esteem,3,
Depression,hopeless_&_helpless,3,
Depression,loss_of_energy,6,
Conjunctivitis,eye_redness,8,
Conjunctivitis,discharge,9,
Conjunctivitis,burning_sensation_in_eyes,5,
Conjunctivitis,sticky_coating_on_the_eyelashes,7,
Dystonia,muscle_spasms,7,
Dystonia,having_an_abnormal,3,
Dystonia,twisted_posture_a_foot,4,
Dystonia,leg_or_arm_turning_inwards,1,
Dystonia,body_parts_jerking_rapidly,3,
Lupus,Fatigue,2,
Lupus,Joint_pain,2,
Lupus,rashes,1,
Lupus,hair_loss,10,
Malnutrition,tiedness,10,
Malnutrition,delayed_wound_healing,10,
Malnutrition,poor_concentration,10,
Malnutrition,frequently_getting_infections,7,
Malnutrition,depression,30,
Malnutrition,difficulty_keeping_warm,15,
Bird_Flu,fever,18,
Bird_Flu,cough,7,
Bird_Flu,sore_throat,2,
Bird_Flu,diarrhea,4,
Bird_Flu,vomiting,2,
Bird_Flu,abdominal_pain,3,
Bird_Flu,chest_pain,4,
Bird_Flu,bleeding_from_the_nose_and_gums,4,
Bird_Flu,headache,5,
Bacterial_Pneumonia,High_fever,2,
Bacterial_Pneumonia,Chills,2,
Bacterial_Pneumonia,Rapid_breathing,6,
Bacterial_Pneumonia,Shortness_of_breath,7,
Bacterial_Pneumonia,Exhaustion,5,
Bacterial_Pneumonia,Loss_of_appetite,3,
Ebola,raised_rashes,4,
Ebola,severe_weight_loss,3,
Ebola,bleeding_from_eyes,6,
Ebola,bruising,13,
Ebola,fatigue,15,
Ebola,Chest_pain,11,
Ebola,sore_throat,10,
Ebola,cough,7,
Addisons_disease,increased_thirst,10,
Addisons_disease,urinate_frequently,11,
Addisons_disease,low_mood,10,
Addisons_disease,lethargy,2,
Addisons_disease,fatigue,3,
Addisons_disease,weight_loss,3,
Addisons_disease,craving_for_salty_foods,6,
Alcohol_poisoning,mental_confusion,4,
Alcohol_poisoning,slurred_speech,10,
Alcohol_poisoning,loss_of_co-ordination,3,
Alcohol_poisoning,vomiting,1,
Alcohol_poisoning,slow_breathing,1,
Alcohol_poisoning,hypothermia,1,
Alcohol_poisoning,stupor,1,
Alcohol_poisoning,being_unconscious,1,
Coeliac,diarrhea,1,
Coeliac,constipation,1,
Coeliac,cramping,1,
Coeliac,anaemia,4,
Coeliac,tiredness,4,
Coeliac,dermatitis_herpetiformis,2,
Coeliac,tooth_enamel_problems,3,
Croup,bark-like_cough,2,
Croup,croaky_voice,5,
Croup,difficulty_breathing,3,
Croup,stridor,7,
Cold_sores,sore_throat,7,
Cold_sores,swollen_glands,7,
Cold_sores,producing_more_saliva_than_normal,7,
Cold_sores,fever,7,
Cold_sores,feeling_sick,7,
Shingles,pain,7,
Shingles,itchy_blisters,7,
Shingles,headache,7,
Shingles,burning,7,
Shingles,tingling,7,
Shingles,numbness,3,
Strokes,paralysis_of_one_side_of_the_body,3,
Strokes,sudden_loss,3,
Strokes,mental_confusion,3,
Strokes,loss_of_consciousness,1,
Strokes,dizziness,1,
Strokes,difficulty_swallowing,1,
Strokes,problems_with_balance,1,
Tooth_decay,toothache,1,
Tooth_decay,tooth_sensitivity,1,
Tooth_decay,brown_or_black_spots_appearing_on_your_teeth,1,
Tooth_decay,bad_breath,5,
Tooth_decay,unpleasant_taste_in_your_mouth,4,
Norovirus,suddenly_feeling_sick,7,
Norovirus,projectile_vomiting,3,
Norovirus,watery_diarrhea,3,
Norovirus,slight_fever,7,
Norovirus,headache,7,
Norovirus,painful_stomach_cramps,7,
Norovirus,aching_limbs,7,
Rotavirus,nausea,7,
Rotavirus,diarrhea,7,
Rotavirus,vomiting,7,
Shigella,bloody_diarrhea,2,
Shigella,fever,2,
Shigella,stomach_pain,2,
Shingella,vomiting,2,
Influenza,Sudden_onset_of_fever,3,
Influenza,cough,4,
Influenza,sore_throat,3,
Influenza,muscular_aches,2,
Influenza,headache,2,
Streptococcal_sore_throat,headache,2,
Streptococcal_sore_throat,vomiting,2,
Streptococcal_sore_throat,sore_throat,2,
Streptococcal_sore_throat,Rheumatic_fever,3,
Monkeypox,fever,3,
Monkeypox,headache,3,
Monkeypox,muscle_aches,3,
Monkeypox,backache,12,
Monkeypox,swollen_lymph_nodes,12,
Monkeypox,tired,12,
Severe_acute_respiratory_syndrome_(SARS),problems_breathing,12,
Severe_acute_respiratory_syndrome_(SARS),malaise,12,
Severe_acute_respiratory_syndrome_(SARS),mental_confusion,12,
Severe_acute_respiratory_syndrome_(SARS),rashes,4,
Severe_acute_respiratory_syndrome_(SARS),body_aches,5,
Severe_acute_respiratory_syndrome_(SARS),sore_throat,3,
Haemophilus_influenzae_b_(Hib),stiff_neck,7,
Haemophilus_influenzae_b_(Hib),headache,7,
Haemophilus_influenzae_b_(Hib),vomiting,6,
Haemophilus_influenzae_b_(Hib),loss_of_alertness,6,
Pneumococcal,fever,6,
Pneumococcal,chills,7,
Pneumococcal,cough,7,
Pneumococcal,rapid_breathing,7,
Pneumococcal,chest_pain,6,
Viral,Sudden_onset,8,
Viral,severe_headache,7,
Viral,fever,7,
Viral,nausea,3,
Viral,behavioral_changes,3,
Viral,vomiting,4,
Viral,stiff_neck,4,
Head_Lice_(Parasite),itching,4,
Head_Lice_(Parasite),scratching_of_scalp,2,
Head_Lice_(Parasite),presence_of_live_lice,3,
Head_Lice_(Parasite),pinpoint_sized_white_eggs,4,
lichen_planus,pinkish_bumps_with_flate_top_on_skin,5,
lichen_planus,itching_at_the_site_of_rashes,7,
lichen_planus,lacy-white_lesions_in_mouth,10,
lichen_planus,blisters,8,
lichen_planus,white_patches,3,
jock_itch,reddened_area_of_skin_ring_shape,4,
jock_itch,raised_blisters_on_border_of_rashes,7,
jock_itch,itching_rashes,10,
jock_itch,burning_rashes,6,
Athlete's_foot,rashes,10,
Athlete's_foot,itching,4,
Athlete's_foot,peeling_of_skin,5,
Athlete's_foot,stinging_sensation,3,
Athlete's_foot,swelling,3,
Ringworm,darkening_of_the_skin,15,
ringworm,ring_shapped_red_rashes,4,
Ringworm,itchy_scalp,6,
Ringworm,hair_loss,7,
