flu,chestycough,NA,
flu,tiredness,3,NA
flu,weakness,3,NA
flu,chills,3,NA
flu,achingmuscles,3,NA
flu,nausea,3,NA
flu,vomiting,3,NA
flu,runnyorblockednose,3,NA
flu,sneezing,3,NA
flu,lossofappetite,3,NA
flu,difficultysleeping,3,NA
flu,diarrhoea,3,NA
flu,headache,3,NA
foodpoisoning,feelingsick,2,
foodpoisoning,vomiting,2,
foodpoisoning,diarrhoea,2,
foodpoisoning,stomachcramps,2,
foodpoisoning,weakness,2,
foodpoisoning,lossofappetite,2,
foodpoisoning,achingmuscles,2,
foodpoisoning,chills,2,
gumdisease,redandswollengums,7,
gumdisease,bleedinggums,7,
gumdisease,badbreath,7,
gumdisease,unpleasanttasteinyourmouth,7,
gumdisease,looseteeth,7,
gumdisease,gumabscesses,7,
